AL, 05, 2021072906, 05, CARQ,  -54,  99N, 250W,  20, 1011, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081412, 05, CARQ,  342, 142N, 733W, 155,  943, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081418, 05, CARQ,  348, 142N, 739W, 140,  948, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081500, 05, CARQ,  354, 143N, 745W, 145,  951, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081506, 05, CARQ,  360, 143N, 749W, 150,  949, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081512, 05, CARQ,  366, 143N, 755W, 145,  944, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081518, 05, CARQ,  372, 144N, 759W, 140,  943, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081600, 05, CARQ,  378, 144N, 764W, 135,  941, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081606, 05, CARQ,  384, 144N, 768W, 120,  943, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081612, 05, CARQ,  390, 145N, 771W, 120,  940, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081618, 05, CARQ,  396, 145N, 774W, 125,  937, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081700, 05, CARQ,  402, 145N, 779W, 130,  935, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081706, 05, CARQ,  408, 146N, 781W, 135,  933, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081712, 05, CARQ,  414, 146N, 784W, 135,  929, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081718, 05, CARQ,  420, 146N, 787W, 135,  924, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081800, 05, CARQ,  426, 146N, 790W, 140,  919, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081806, 05, CARQ,  432, 147N, 794W, 145,  918, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081812, 05, CARQ,  438, 147N, 799W, 140,  923, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081818, 05, CARQ,  444, 147N, 803W, 135,  929, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081900, 05, CARQ,  450, 148N, 807W, 130,  934, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081906, 05, CARQ,  456, 149N, 810W, 130,  941, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081912, 05, CARQ,  462, 150N, 814W, 130,  943, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081918, 05, CARQ,  468, 151N, 818W, 125,  945, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082000, 05, CARQ,  474, 152N, 821W, 120,  949, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082006, 05, CARQ,  480, 152N, 825W, 120,  950, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082012, 05, CARQ,  486, 153N, 828W, 115,  950, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082018, 05, CARQ,  492, 153N, 828W, 115,  951, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082100, 05, CARQ,  498, 154N, 831W, 110,  954, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082106, 05, CARQ,  505, 155N, 834W, 110,  957, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082112, 05, CARQ,  510, 155N, 840W,  95,  962, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082118, 05, CARQ,  516, 155N, 846W,  90,  965, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082200, 05, CARQ,  522, 155N, 854W,  75,  982, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082206, 05, CARQ,  528, 153N, 859W,  55,  990, TS,  50, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082212, 05, CARQ,  534, 152N, 865W,  40,  993, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082218, 05, CARQ,  540, 150N, 871W,  35,  998, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082300, 05, CARQ,  546, 148N, 878W,  30, 1003, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082306, 05, CARQ,  552, 146N, 883W,  30, 1005, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082312, 05, CARQ,  558, 143N, 890W,  25, 1009, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082318, 05, CARQ,  564, 140N, 898W,  25, 1011, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082400, 05, CARQ,  570, 135N, 905W,  25, 1012, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082406, 05, CARQ,  576, 131N, 911W,  30, 1010, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082412, 05, CARQ,  582, 128N, 919W,  30, 1008, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082418, 05, CARQ,  588, 124N, 925W,  35, 1006, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082500, 05, CARQ,  594, 122N, 932W,  35, 1005, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082506, 05, CARQ,  600, 122N, 940W,  35, 1005, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082512, 05, CARQ,  606, 122N, 945W,  40, 1003, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082518, 05, CARQ,  612, 121N, 951W,  40, 1001, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082600, 05, CARQ,  618, 121N, 958W,  45, 1000, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082606, 05, CARQ,  624, 121N, 964W,  45, 1000, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082612, 05, CARQ,  630, 122N, 969W,  50,  999, TS,  50, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082618, 05, CARQ,  636, 122N, 973W,  55,  997, TS,  50, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082700, 05, CARQ,  642, 123N, 978W,  40, 1001, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082706, 05, CARQ,  648, 123N, 982W,  35, 1005, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082712, 05, CARQ,  654, 124N, 986W,  30, 1008, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082718, 05, CARQ,  660, 124N, 990W,  25, 1010, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082800, 05, CARQ,  666, 125N, 994W,  30, 1009, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082806, 05, CARQ,  672, 127N, 1000W, 35, 1007, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082812, 05, CARQ,  678, 129N, 1007W, 40, 1005, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082818, 05, CARQ,  684, 130N, 1013W, 40, 1005, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082900, 05, CARQ,  690, 131N, 1019W, 45, 1000, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082906, 05, CARQ,  696, 131N, 1026W, 55,  994, TS,  50, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082912, 05, CARQ,  702, 132N, 1032W, 65,  986, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021082918, 05, CARQ,  708, 133N, 1039W, 70,  983, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021083000, 05, CARQ,  714, 134N, 1048W, 85,  974, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021083006, 05, CARQ,  720, 135N, 1058W, 90,  969, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021083012, 05, CARQ,  726, 136N, 1069W, 100, 964, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021083018, 05, CARQ,  732, 138N, 1080W, 105, 957, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021083100, 05, CARQ,  738, 138N, 1091W, 105, 954, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021083106, 05, CARQ,  744, 137N, 1103W, 110, 951, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021083112, 05, CARQ,  750, 136N, 1115W, 120, 943, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021083118, 05, CARQ,  756, 135N, 1127W, 135, 928, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090100, 05, CARQ,  762, 134N, 1140W, 145, 919, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090106, 05, CARQ,  768, 134N, 1153W, 150, 904, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090112, 05, CARQ,  774, 133N, 1167W, 155, 895, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
